Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,location_word,uncertain_location_specificity,lat,lng
1977-0106-IDN,1977,0106,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Indonesia,IDN,South-Eastern Asia,Asia,"Sumbaya, Lombok, Sumba (Nusa Tengarra Is.)",NA,Tsunami/Tidal wave,NA,NA,NA,NA,NA,8,Richter,-11.164,118.378,NA,NA,1977,8,19,1977,8,19,185,75,3900,NA,3975,NA,NA,1200,23.7068509965271,NA,NA,NA,NA,nusa tengarra is.,TRUE,NA,NA
1977-9062-GHA,1977,9062,NA,Natural,Climatological,Drought,Drought,NA,NA,Ghana,GHA,Western Africa,Africa,"North, Upper regions",NA,Food shortage,NA,NA,No,No,NA,NA,Km2,NA,NA,NA,NA,1977,5,NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7068509965271,NA,NA,NA,NA,north,FALSE,10.4,-0.6
1977-9062-GHA,1977,9062,NA,Natural,Climatological,Drought,Drought,NA,NA,Ghana,GHA,Western Africa,Africa,"North, Upper regions",NA,Food shortage,NA,NA,No,No,NA,NA,Km2,NA,NA,NA,NA,1977,5,NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7068509965271,NA,NA,NA,NA,upper,FALSE,10.06069,-2.50192
1977-9002-HTI,1977,9002,NA,Natural,Climatological,Drought,Drought,NA,NA,Haiti,HTI,Caribbean,Americas,Countrywide,NA,Food shortage,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1977,5,NA,1977,NA,NA,NA,NA,450000,NA,450000,NA,NA,NA,23.7068509965271,NA,NA,NA,NA,countrywide,FALSE,NA,NA
1977-0137-ARG,1977,0137,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Argentina,ARG,South America,Americas,"Cardoba, Buenos Aires, Caucete, Bragado San Juan province",NA,NA,NA,NA,NA,NA,NA,7,Richter,-31.028,-67.767,06:26,NA,1977,11,23,1977,11,23,70,100,NA,40000,40100,NA,NA,80000,23.7068509965271,NA,NA,NA,NA,cardoba,FALSE,NA,NA
1977-0137-ARG,1977,0137,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Argentina,ARG,South America,Americas,"Cardoba, Buenos Aires, Caucete, Bragado San Juan province",NA,NA,NA,NA,NA,NA,NA,7,Richter,-31.028,-67.767,06:26,NA,1977,11,23,1977,11,23,70,100,NA,40000,40100,NA,NA,80000,23.7068509965271,NA,NA,NA,NA,buenos aires,FALSE,-34.61315,-58.37723
1977-0137-ARG,1977,0137,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Argentina,ARG,South America,Americas,"Cardoba, Buenos Aires, Caucete, Bragado San Juan province",NA,NA,NA,NA,NA,NA,NA,7,Richter,-31.028,-67.767,06:26,NA,1977,11,23,1977,11,23,70,100,NA,40000,40100,NA,NA,80000,23.7068509965271,NA,NA,NA,NA,caucete,FALSE,-31.45,-67.66667
1977-0137-ARG,1977,0137,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Argentina,ARG,South America,Americas,"Cardoba, Buenos Aires, Caucete, Bragado San Juan province",NA,NA,NA,NA,NA,NA,NA,7,Richter,-31.028,-67.767,06:26,NA,1977,11,23,1977,11,23,70,100,NA,40000,40100,NA,NA,80000,23.7068509965271,NA,NA,NA,NA,bragado san juan,FALSE,NA,NA
1977-0146-ARG,1977,0146,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Argentina,ARG,South America,Americas,"North-East, Central",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1977,1,NA,1977,1,NA,NA,NA,2500,NA,2500,NA,NA,NA,23.7068509965271,NA,NA,NA,NA,north-east,FALSE,NA,NA
1977-0146-ARG,1977,0146,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Argentina,ARG,South America,Americas,"North-East, Central",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1977,1,NA,1977,1,NA,NA,NA,2500,NA,2500,NA,NA,NA,23.7068509965271,NA,NA,NA,NA,central,FALSE,-25,-59.75
1977-0223-AUS,1977,0223,NA,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,NA,Australia,AUS,Australia and New Zealand,Oceania,New South Wales,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1977,1,NA,1977,1,NA,NA,NA,NA,NA,NA,NA,NA,38680,23.7068509965271,NA,NA,NA,NA,new south wales,FALSE,-33.86785,151.20732
1977-0225-AUS,1977,0225,NA,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",NA,NA,Australia,AUS,Australia and New Zealand,Oceania,Western district,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1977,2,NA,1977,2,NA,NA,NA,NA,NA,NA,NA,NA,22592,23.7068509965271,NA,NA,NA,NA,western,FALSE,-31.95224,115.8614
1977-0227-AUS,1977,0227,NA,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",NA,NA,Australia,AUS,Australia and New Zealand,Oceania,"Blue Mountains, New South Wales",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1977,12,NA,1977,12,NA,3,NA,NA,NA,NA,NA,NA,2168,23.7068509965271,NA,NA,NA,NA,blue mountains,FALSE,-33.63203,150.41293
1977-0227-AUS,1977,0227,NA,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",NA,NA,Australia,AUS,Australia and New Zealand,Oceania,"Blue Mountains, New South Wales",NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1977,12,NA,1977,12,NA,3,NA,NA,NA,NA,NA,NA,2168,23.7068509965271,NA,NA,NA,NA,new south wales,FALSE,-33.86785,151.20732
1977-0224-AUS,1977,0224,NA,Natural,Meteorological,Storm,NA,NA,NA,Australia,AUS,Australia and New Zealand,Oceania,"Tongala, Echuca Victoria",NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1977,2,NA,1977,2,NA,NA,NA,NA,NA,NA,NA,NA,10269,23.7068509965271,NA,NA,NA,NA,tongala,FALSE,-36.25466,144.95622
1977-0224-AUS,1977,0224,NA,Natural,Meteorological,Storm,NA,NA,NA,Australia,AUS,Australia and New Zealand,Oceania,"Tongala, Echuca Victoria",NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1977,2,NA,1977,2,NA,NA,NA,NA,NA,NA,NA,NA,10269,23.7068509965271,NA,NA,NA,NA,echuca victoria,FALSE,-36.1572,144.76199
