Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,location_word,uncertain_location_specificity,lat,lng
1990-0284-CHN,1990,0284,NA,Natural,Geophysical,Mass movement (dry),Landslide,NA,NA,China,CHN,Eastern Asia,Asia,Wenzhou (Zhejiang province),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,10,6,1990,10,6,4,105,5000,NA,5105,NA,NA,NA,51.1067950003987,NA,NA,NA,NA,wenzhou,TRUE,27.99942,120.66682
1990-0284-CHN,1990,0284,NA,Natural,Geophysical,Mass movement (dry),Landslide,NA,NA,China,CHN,Eastern Asia,Asia,Wenzhou (Zhejiang province),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,10,6,1990,10,6,4,105,5000,NA,5105,NA,NA,NA,51.1067950003987,NA,NA,NA,NA,zhejiang,TRUE,30.29365,120.16142
1990-0024-CHN,1990,0024,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,China,CHN,Eastern Asia,Asia,Hunan province,Heavy rain,NA,NA,Yes,No,No,NA,206500,Km2,NA,NA,NA,NA,1990,6,5,1990,7,2,363,5805,26000000,125000,26130805,NA,NA,592000,51.1067950003987,NA,NA,NA,NA,hunan,FALSE,27.66667,111.75
1990-0039-CHN,1990,0039,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,China,CHN,Eastern Asia,Asia,"Shaanxi, Sichuan provinces",Heavy rain,NA,NA,NA,No,No,NA,438800,Km2,NA,NA,NA,"Jtalin, Han and Wet Rivers, Hanjiang River",1990,7,4,1990,7,19,72,NA,NA,175000,175000,NA,NA,211000,51.1067950003987,NA,NA,NA,NA,shaanxi,FALSE,34.25833,108.92861
1990-0039-CHN,1990,0039,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,China,CHN,Eastern Asia,Asia,"Shaanxi, Sichuan provinces",Heavy rain,NA,NA,NA,No,No,NA,438800,Km2,NA,NA,NA,"Jtalin, Han and Wet Rivers, Hanjiang River",1990,7,4,1990,7,19,72,NA,NA,175000,175000,NA,NA,211000,51.1067950003987,NA,NA,NA,NA,sichuan,FALSE,30.66667,104.06667
1990-0699-CHN,1990,0699,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,China,CHN,Eastern Asia,Asia,Shandong province,NA,NA,NA,NA,NA,NA,NA,16600,Km2,NA,NA,NA,NA,1990,7,NA,1990,7,NA,60,NA,16000000,NA,16000000,NA,NA,NA,51.1067950003987,NA,NA,NA,NA,shandong,FALSE,36.33333,118.25
1990-0037-CHN,1990,0037,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,N°5,China,CHN,Eastern Asia,Asia,"Fujian, Zhejian provinces",NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1990,6,24,1990,6,24,56,148,NA,10000,10148,NA,NA,16000,51.1067950003987,NA,NA,NA,NA,fujian,FALSE,26.25,118
1990-0037-CHN,1990,0037,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,N°5,China,CHN,Eastern Asia,Asia,"Fujian, Zhejian provinces",NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1990,6,24,1990,6,24,56,148,NA,10000,10148,NA,NA,16000,51.1067950003987,NA,NA,NA,NA,zhejian,FALSE,30.25,120.1666
1990-0038-CHN,1990,0038,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,N°6,China,CHN,Eastern Asia,Asia,"Fujian, Guangdong provinces",NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1990,6,29,1990,6,29,16,288,5590000,NA,5590288,NA,NA,28000,51.1067950003987,NA,NA,NA,NA,fujian,FALSE,26.25,118
1990-0038-CHN,1990,0038,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,N°6,China,CHN,Eastern Asia,Asia,"Fujian, Guangdong provinces",NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1990,6,29,1990,6,29,16,288,5590000,NA,5590288,NA,NA,28000,51.1067950003987,NA,NA,NA,NA,guangdong,FALSE,23.11667,113.25
