Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,location_word,uncertain_location_specificity,lat,lng
1900-9002-CPV,1900,9002,NA,Natural,Climatological,Drought,Drought,NA,NA,Cabo Verde,CPV,Western Africa,Africa,Countrywide,NA,Famine,NA,NA,No,No,NA,NA,Km2,NA,NA,NA,NA,1900,NA,NA,1900,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,3.2613889831939,NA,NA,NA,NA,countrywide,FALSE,NA,NA
1900-9001-IND,1900,9001,NA,Natural,Climatological,Drought,Drought,NA,NA,India,IND,Southern Asia,Asia,Bengal,NA,NA,NA,NA,No,No,NA,NA,Km2,NA,NA,NA,NA,1900,NA,NA,1900,NA,NA,1250000,NA,NA,NA,NA,NA,NA,NA,3.2613889831939,NA,NA,NA,NA,bengal,FALSE,22.56263,88.36304
1902-0012-GTM,1902,0012,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Guatemala,GTM,Central America,Americas,"Quezaltenango, San Marcos",NA,Tsunami/Tidal wave,NA,NA,NA,NA,NA,8,Richter,14,-91,20:20,NA,1902,4,18,1902,4,18,2000,NA,NA,NA,NA,NA,NA,25000,3.3918445425216,NA,NA,NA,NA,quezaltenango,FALSE,14.83472,-91.51806
1902-0012-GTM,1902,0012,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Guatemala,GTM,Central America,Americas,"Quezaltenango, San Marcos",NA,Tsunami/Tidal wave,NA,NA,NA,NA,NA,8,Richter,14,-91,20:20,NA,1902,4,18,1902,4,18,2000,NA,NA,NA,NA,NA,NA,25000,3.3918445425216,NA,NA,NA,NA,san marcos,FALSE,15,-91.91667
1903-0006-CAN,1903,0006,NA,Natural,Geophysical,Mass movement (dry),Rockfall,NA,NA,Canada,CAN,Northern America,Americas,"Frank, Alberta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903,4,29,1903,4,29,76,23,NA,NA,23,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,frank,FALSE,49.60002,-114.402
1903-0006-CAN,1903,0006,NA,Natural,Geophysical,Mass movement (dry),Rockfall,NA,NA,Canada,CAN,Northern America,Americas,"Frank, Alberta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903,4,29,1903,4,29,76,23,NA,NA,23,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,alberta,FALSE,51.05011,-114.08529
1904-0003-BGD,1904,0003,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Bangladesh,BGD,Southern Asia,Asia,Chittagong,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1904,11,NA,1904,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,chittagong,FALSE,22.3384,91.83168
1905-0005-CAN,1905,0005,NA,Natural,Geophysical,Mass movement (dry),Rockfall,NA,NA,Canada,CAN,Northern America,Americas,"Spence's Bridge, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1905,8,13,1905,8,13,18,18,NA,NA,18,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,spence's bridge,FALSE,NA,NA
1905-0005-CAN,1905,0005,NA,Natural,Geophysical,Mass movement (dry),Rockfall,NA,NA,Canada,CAN,Northern America,Americas,"Spence's Bridge, British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1905,8,13,1905,8,13,18,18,NA,NA,18,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,british columbia,FALSE,49.24966,-123.11934
1905-0003-IND,1905,0003,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,India,IND,Southern Asia,Asia,Kangra,NA,NA,NA,NA,NA,NA,NA,8,Richter,32.04,76.16,06:20,NA,1905,4,4,1905,4,4,20000,NA,NA,NA,NA,NA,NA,25000,3.5223001018494,NA,NA,NA,NA,kangra,FALSE,32.16667,76.25
1906-0014-CHL,1906,0014,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Chile,CHL,South America,Americas,Valparaiso,NA,Tsunami/Tidal wave,NA,NA,NA,NA,NA,8,Richter,33.05,71.4,19:57,NA,1906,8,16,1906,8,16,20000,NA,NA,NA,NA,NA,NA,100000,3.5223001018494,NA,NA,NA,NA,valparaiso,FALSE,-33.036,-71.62963
1906-0002-COL,1906,0002,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Colombia,COL,South America,Americas,Tumako,NA,Tsunami/Tidal wave,NA,NA,No,No,NA,9,Richter,1.51 N,78.46 W,NA,NA,1906,1,31,1906,1,31,400,NA,NA,NA,NA,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,tumako,FALSE,1.79112,-78.79275
1906-0023-BEL,1906,0023,NA,Natural,Hydrological,Flood,NA,NA,NA,Belgium,BEL,Western Europe,Europe,Louvain region,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1906,5,14,1906,5,14,6,NA,NA,NA,NA,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,louvain,FALSE,50.87959,4.70093
1907-0006-CHN,1907,0006,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,China,CHN,Eastern Asia,Asia,Tien Shan,NA,NA,NA,NA,NA,NA,NA,7,Richter,38.5,69.9,09:23,NA,1907,10,21,1907,10,21,12000,NA,NA,NA,NA,NA,NA,NA,3.6527556611772,NA,NA,NA,NA,tien shan,FALSE,36.79056,118.06333
1908-0011-CAN,1908,0011,NA,Natural,Geophysical,Mass movement (dry),Landslide,NA,NA,Canada,CAN,Northern America,Americas,"Notre Dame de La Salette, Quebec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1908,4,26,1908,4,26,33,NA,NA,NA,NA,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,notre dame de la salette,FALSE,45.77837,-75.55022
1908-0011-CAN,1908,0011,NA,Natural,Geophysical,Mass movement (dry),Landslide,NA,NA,Canada,CAN,Northern America,Americas,"Notre Dame de La Salette, Quebec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1908,4,26,1908,4,26,33,NA,NA,NA,NA,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,quebec,FALSE,46.81228,-71.21454
1909-0010-BGD,1909,0010,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Bangladesh,BGD,Southern Asia,Asia,Bakerganj,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1909,10,15,1909,10,15,172,NA,NA,NA,NA,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,bakerganj,FALSE,22.55,90.33833
1909-0013-BGD,1909,0013,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Bangladesh,BGD,Southern Asia,Asia,West Sundarbans,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1909,12,NA,1909,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,west sundarbans,FALSE,NA,NA
1909-0009-FRA,1909,0009,NA,Natural,Geophysical,Earthquake,Ground movement,NA,NA,France,FRA,Western Europe,Europe,"Lambesc, Saint-Cannat, Rognes, Vernegues, Charleval, La Roque d'Antheron (Haute-Provence)",NA,NA,NA,NA,NA,NA,NA,6,Richter,44.05,6.14,21:15,NA,1909,6,11,1909,6,11,46,NA,NA,NA,NA,NA,NA,NA,3.5223001018494,NA,NA,NA,NA,lambesc,TRUE,43.65382,5.26211
